Run ID,Name,Source Type,Source Name,User,Status,embedded_columns,epochs,num_layers,numerical_columns,one_hot_columns,optimizer_name,accuracy,loss,val_accuracy,val_loss
90879a765b074aeebefde64c166c9c7b,Modelo 2 Combinación 3,LOCAL,practico_1_train_petfinder_modelos.py,fidel,FINISHED,"{'Breed1': 308, 'Breed2': 308}",20,14,"['Age', 'Fee']","{'Gender': 3, 'Color1': 7, 'Color2': 7, 'Color3': 7, 'Type': 2, 'MaturitySize': 4, 'Sterilized': 3, 'Vaccinated': 3, 'Health': 3}",Adam,0.3799173,1.3658077727952653,0.35144073,1.4579491223861922
7baaa0ed674447dba8864b68600ae4a8,Modelo 2 Combinación 2,LOCAL,practico_1_train_petfinder_modelos.py,fidel,FINISHED,"{'Breed1': 308, 'Breed2': 308}",20,14,"['Age', 'Fee']","{'Gender': 3, 'Color1': 7, 'Type': 2, 'MaturitySize': 4, 'Sterilized': 3}",Adam,0.3813349,1.370348202175314,0.34246576,1.4340022072863223
ee4756eee65c4345838f9f7529a2ff6e,Modelo 2 Combinación 1,LOCAL,practico_1_train_petfinder_modelos.py,fidel,FINISHED,{'Breed1': 308},20,11,"['Age', 'Fee']","{'Gender': 3, 'Color1': 7}",Adam,0.33585352,1.420860459405997,0.31743032,1.4673980421094752
