Run ID,Name,Source Type,Source Name,User,Status,embedded_columns,epochs,num_layers,numerical_columns,one_hot_columns,optimizer_name,accuracy,loss,val_accuracy,val_loss
9909b101223b498db2bfd43ffee78891,Modelo 3 Combinación 3,LOCAL,practico_1_train_petfinder_modelos.py,fidel,FINISHED,"{'Breed1': 308, 'Breed2': 308}",20,13,"['Age', 'Fee']","{'Gender': 3, 'Color1': 7, 'Color2': 7, 'Color3': 7, 'Type': 2, 'MaturitySize': 4, 'Sterilized': 3, 'Vaccinated': 3, 'Health': 3}",Adam,0.37696397,1.3774496238751308,0.34246576,1.4148479646711207
f30234efe4d141c79d56d6a727b031f9,Modelo 3 Combinación 2,LOCAL,practico_1_train_petfinder_modelos.py,fidel,FINISHED,"{'Breed1': 308, 'Breed2': 308}",20,13,"['Age', 'Fee']","{'Gender': 3, 'Color1': 7, 'Type': 2, 'MaturitySize': 4, 'Sterilized': 3}",Adam,0.38298878,1.3773347755613512,0.35002363,1.4123743381073226
0ea15bbf813b4ee896bbe12017845c61,Modelo 3 Combinación 1,LOCAL,practico_1_train_petfinder_modelos.py,fidel,FINISHED,{'Breed1': 308},20,10,"['Age', 'Fee']","{'Gender': 3, 'Color1': 7}",Adam,0.33479032,1.4278766784735566,0.322154,1.4358861001569834
