Run ID,Name,Source Type,Source Name,User,Status,batch_size,dropout_1,epochs,hidden_layer_1,hidden_layer_2,hidden_layer_3,learning_rate,accuracy,loss
9f5b3cc590aa4f3a99fde420bb4356cf,,LOCAL,practico_1_train_petfinder_busqueda.py,fidel,FINISHED,32,0.47144315009176285,54,123,111,117,0.0009971353931089346,0.34010392,2.681886162330855
4fc6b47f696547c28b980396882d2fee,,LOCAL,practico_1_train_petfinder_busqueda.py,fidel,FINISHED,32,0.0695136011790477,25,130,65,65,0.0001,0.34010392,1.7003880934928781
4f6a7d1f16324ae3a1fd3591a6a63b2c,,LOCAL,practico_1_train_petfinder_busqueda.py,fidel,FINISHED,32,0.07366883161197144,25,130,65,65,0.0001,0.34860653,1.7581271377962027
aa75d7a1e01a4508a2935f9b0e3b0bc5,,LOCAL,practico_1_train_petfinder_busqueda.py,fidel,FINISHED,32,0.49999999999999994,25,65,130,65,0.0001,0.32451582,1.515843644070981
e905f6bfbd9b4b20b341a4455528af7a,,LOCAL,practico_1_train_petfinder_busqueda.py,fidel,FINISHED,32,0.060068598893063534,27,77,126,67,0.000101100345062229,0.35144073,1.5712704978772063
4d285679199f43619b660a9b70ebda9d,,LOCAL,practico_1_train_petfinder_busqueda.py,fidel,FINISHED,32,0.4975467345053456,54,102,106,105,0.0009816744057785116,0.32404345,3.0222538282622153
7ed4e318462c4974bb1e5a1f4e1911e8,,LOCAL,practico_1_train_petfinder_busqueda.py,fidel,FINISHED,32,0.49999999999999994,25,130,65,65,0.0001,0.3306566,1.457101818340928
bad9b606372143bca6b5f19c0a072209,,LOCAL,practico_1_train_petfinder_busqueda.py,fidel,FINISHED,32,0.49999999999999994,25,130,65,65,0.0001,0.34104866,1.4375981128037865
705c155a612e4fb3abb94f5456698806,,LOCAL,practico_1_train_petfinder_busqueda.py,fidel,FINISHED,32,0.49999999999999994,25,130,65,65,0.0001,0.34955126,1.4633673856507485
85423f70b23a470592017dd2c4dabfb8,,LOCAL,practico_1_train_petfinder_busqueda.py,fidel,FINISHED,32,0.45551077501971016,26,83,122,68,0.0003481232676966385,0.33585262,1.8390428913173391
