Run ID,Name,Source Type,Source Name,User,Status,batch_size,dropout_1,dropout_2,epochs,hidden_layer_1,hidden_layer_2,hidden_layer_3,hidden_layer_4,hidden_layer_5,learning_rate,accuracy,loss
23434bb046ae424bb00ff5f83e666a7e,,LOCAL,practico_1_train_petfinder_busqueda.py,fidel,FINISHED,32,0.1188556301408866,0.23811557641745248,25,112,70,77,126,71,0.00010463178848623729,0.3377421,1.658486818199727
90bbf24e96d94b9abaf4f4653e56a3ce,,LOCAL,practico_1_train_petfinder_busqueda.py,fidel,FINISHED,32,0.4207988160662555,0.010337013536229985,38,76,70,80,122,83,0.000986909187204246,0.31506848,2.06209587872918
5d089a4fd1c843c7aae98e8f03ebb906,,LOCAL,practico_1_train_petfinder_busqueda.py,fidel,FINISHED,32,0.49999999999999994,0.49999999999999994,55,65,65,130,130,65,0.0001,0.35710913,1.6003680042366484
21ce8ed15dcb439196df887baa87fcab,,LOCAL,practico_1_train_petfinder_busqueda.py,fidel,FINISHED,32,0.49999999999999994,0.49999999999999994,25,65,130,130,130,65,0.001,0.350496,1.6653312960667397
d1c4555e3ff14e5aa319e6210d0a1d73,,LOCAL,practico_1_train_petfinder_busqueda.py,fidel,FINISHED,32,0.49999999999999994,0.49999999999999994,55,65,65,130,130,65,0.0001,0.35285783,1.4782921929857624
2d0942c27bf142d3abcade9c83ab418b,,LOCAL,practico_1_train_petfinder_busqueda.py,fidel,FINISHED,32,0.45543691968912847,0.016312815096958238,26,102,90,105,128,69,0.0007822256993613598,0.33726972,1.7155710440963061
4c284a14c55f4073b95e07930e266204,,LOCAL,practico_1_train_petfinder_busqueda.py,fidel,FINISHED,32,0.2503690999818309,0.018561501994039848,26,96,114,121,130,93,0.0008891471868024429,0.35427493,1.8333918372196938
6e009db9eaaa49cd941c7f74aa85eb9a,,LOCAL,practico_1_train_petfinder_busqueda.py,fidel,FINISHED,32,0.11893244401498224,0.18168440504316274,25,104,110,116,118,126,0.00010718611256316755,0.34152102,1.7030175586244953
f58def18072141c0b0896bb0b02635ac,,LOCAL,practico_1_train_petfinder_busqueda.py,fidel,FINISHED,32,0.01380091865177144,0.3474606824469743,54,113,128,66,65,80,0.0003397852670772745,0.28767124,3.926786465431327
8fe4c0386c21417893ab53e43c569018,,LOCAL,practico_1_train_petfinder_busqueda.py,fidel,FINISHED,32,0.4856363306724538,0.01675789612449149,25,108,107,98,72,128,0.00018966268279481087,0.32404345,1.7556585180225657
130904ba19b8420d8c8038601efca5ed,,LOCAL,practico_1_train_petfinder_busqueda.py,fidel,FINISHED,32,0.49917073872532025,0.43678621567963005,39,74,68,112,78,125,0.00011524778306655384,0.32735002,1.5740384948787405
56ed60cf2c8b41b3800321ecfcf51c7e,,LOCAL,practico_1_train_petfinder_busqueda.py,fidel,FINISHED,32,0.49999999999999994,0.49999999999999994,55,65,130,65,130,130,0.001,0.34435523,1.9065220320402687
21a72fb0ba744f38b7cba0dd2233d566,,LOCAL,practico_1_train_petfinder_busqueda.py,fidel,FINISHED,32,0.49999999999999994,0.49999999999999994,55,130,130,65,65,130,0.0001,0.3476618,1.524708728292095
8a9cf7a167e549e18c0a3c49e0948eb9,,LOCAL,practico_1_train_petfinder_busqueda.py,fidel,FINISHED,32,0.49999999999999994,0.49999999999999994,55,65,65,130,65,65,0.001,0.3377421,2.082532187006367
1e1e58e5105b4de6b2c41a3fbeb9f2bf,,LOCAL,practico_1_train_petfinder_busqueda.py,fidel,FINISHED,32,0.49999999999999994,0.49999999999999994,55,65,65,130,65,65,0.001,0.36088806,1.7889402143990816
