Run ID,Name,Source Type,Source Name,User,Status,batch_size,epochs,hidden_layer_1,hidden_layer_2,learning_rate,accuracy,loss
c9b96672fa094c0aad34bc1bf36a8948,,LOCAL,practico_1_train_petfinder_busqueda.py,fidel,FINISHED,32,53,68,130,0.00010497932721054693,0.33254606,1.4519148798131232
cff749e4e8a84bbcaf34d8e746fe79f5,,LOCAL,practico_1_train_petfinder_busqueda.py,fidel,FINISHED,32,34,123,119,0.00010238534709185336,0.34860653,1.4179066899997086
a150d42af08e470ba04c119fbefdfdc3,,LOCAL,practico_1_train_petfinder_busqueda.py,fidel,FINISHED,32,31,71,128,0.00010160539190751107,0.35994333,1.405551691553486
b310eddab6b048ddba1412c40f5d27e5,,LOCAL,practico_1_train_petfinder_busqueda.py,fidel,FINISHED,32,25,65,130,0.0001,0.37505904,1.3899523357846844
82d77f4e417f4f7c95bb4950118e0c15,,LOCAL,practico_1_train_petfinder_busqueda.py,fidel,FINISHED,32,25,65,130,0.0001,0.3604157,1.400657128931871
f5a312296cbe4108a95a88203a7a9087,,LOCAL,practico_1_train_petfinder_busqueda.py,fidel,FINISHED,32,53,130,126,0.0001030075185130765,0.3490789,1.498977347986022
0dcb6b49330a4da4a7d847b90218fe27,,LOCAL,practico_1_train_petfinder_busqueda.py,fidel,FINISHED,32,25,65,65,0.0001,0.34246576,1.410638759385294
471c665075d442cca85f151f82f45273,,LOCAL,practico_1_train_petfinder_busqueda.py,fidel,FINISHED,32,32,130,86,0.00010468882533926745,0.3405763,1.4208415266293197
49b17eb142a94297b241ddcbf70459bd,,LOCAL,practico_1_train_petfinder_busqueda.py,fidel,FINISHED,32,25,65,130,0.0001,0.35380256,1.4200293999999316
20e7adf292b2408e81d27fcc361193ab,,LOCAL,practico_1_train_petfinder_busqueda.py,fidel,FINISHED,32,55,65,65,0.0001,0.34388286,1.446041422103768
fad76662b9f24a689ac85104f3e3bd79,,LOCAL,practico_1_train_petfinder_busqueda.py,fidel,FINISHED,32,38,71,89,0.0002415054160388276,0.3448276,1.5100104275034434
9424775a798e49a8874f7f769bc9ed41,,LOCAL,practico_1_train_petfinder_busqueda.py,fidel,FINISHED,32,25,78,111,0.000708008673041103,0.31979215,1.7287820203980404
2e6ab39402ad45bcad29a3b25b7b33fb,,LOCAL,practico_1_train_petfinder_busqueda.py,fidel,FINISHED,32,54,104,83,0.0001965568459942485,0.3320737,1.609961723213765
3eb65914b49a4dbca1faf2109e5eade9,,LOCAL,practico_1_train_petfinder_busqueda.py,fidel,FINISHED,32,47,86,102,0.00038614566677539055,0.33018422,1.73573011248859
8878ce1a210449a88aecf34268182959,,LOCAL,practico_1_train_petfinder_busqueda.py,fidel,FINISHED,32,48,93,79,0.0008446151473238237,0.31365138,2.2777926138977507
5c2fbfdab0394b5d84cf60ad901e31b9,,LOCAL,practico_1_train_petfinder_busqueda.py,fidel,FINISHED,32,25,80,81,0.00015213743426653698,0.34246576,1.432827857003283
14a578f6700841398f57d9a48ac7df7a,,LOCAL,practico_1_train_petfinder_busqueda.py,fidel,FINISHED,32,54,95,121,0.00024289384094106808,0.33160132,1.6278411007639189
10a0eed6fa5942aaaee36dcfd33667ca,,LOCAL,practico_1_train_petfinder_busqueda.py,fidel,FINISHED,32,26,99,91,0.0002412470387944658,0.33963156,1.4627206165399125
25147a1b98bc4c41ad53914cc3ccee80,,LOCAL,practico_1_train_petfinder_busqueda.py,fidel,FINISHED,32,45,69,112,0.00010164038588691214,0.34955126,1.4139785980110737
0614707836804197a187feda77b53e4c,,LOCAL,practico_1_train_petfinder_busqueda.py,fidel,FINISHED,32,49,77,116,0.0001389526449426104,0.34104866,1.484335225019882
